Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Season,Episode,seriesID,totalSeasons
Ad Astra,2019,PG-13,20 Sep 2019,123 min,"Adventure, Drama, Mystery",James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","English, Norwegian","United States, China, Brazil",Nominated for 1 Oscar. 13 wins & 76 nominations total,https://m.media-amazon.com/images/M/MV5BOGRhOGNjZjEtNTU2Ni00MDlmLWI3MWEtNzc1OGE2ZmEwZGNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,6.5,"269,636",tt2935510,movie,N/A,"$50,188,370",N/A,N/A,True,False,/AeDS2MKGFy6QcjgWbJBde0Ga6Hd.jpg,,87500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",https://www.foxmovies.com/movies/ad-astra,419704,tt2935510,['US'],en,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",18.3543,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,"[{'id': 490, 'logo_path': '/80tMio7Jn0Zd0kOrLG5CKfq4G5i.png', 'name': 'New Regency Productions', 'origin_country': 'US'}, {'id': 73492, 'logo_path': '/bQzrYnomE5hIRJMxEy7e2SCYew3.png', 'name': 'MadRiver Pictures', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 30666, 'logo_path': '/g8LmDZVFWDRJW72sj0nAj1gh8ac.png', 'name': 'RT Features', 'origin_country': 'BR'}, {'id': 30148, 'logo_path': '/zerhOenUD6CkH8SMgZUhrDkOs4w.png', 'name': 'Bona Film Group', 'origin_country': 'CN'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 19671, 'logo_path': '/8g2hBphdYM8Fc5r4o0hfGXBnquv.png', 'name': 'Keep Your Head Productions', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-09-17,127461872,123,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}]",Released,The answers we seek are just outside our reach.,Ad Astra,False,6.113,6772,,,,
John Wick: Chapter 2,2017,R,10 Feb 2017,122 min,"Action, Crime, Thriller",Chad Stahelski,Derek Kolstad,"Keanu Reeves, Riccardo Scamarcio, Ian McShane","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","English, Italian, Russian, Sign , Hebrew","United States, Italy, Hong Kong, Canada",4 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"538,183",tt4425200,movie,N/A,"$92,029,184",N/A,N/A,True,False,/r17jFHAemzcWPPtoO0UxjIX0xas.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/sm7rZZivZm2NhJDucFf3gpfFdVt.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",40000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://johnwick.movie/film/john-wick/john-wick-chapter-2,324552,tt4425200,['US'],en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",14.1389,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,"[{'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}, {'id': 491, 'logo_path': '/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-02-08,171539887,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hebrew', 'iso_639_1': 'he', 'name': 'עִבְרִית'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Never stab the devil in the back!,John Wick: Chapter 2,False,7.332,13381,,,,
Notting Hill,1999,PG-13,28 May 1999,124 min,"Comedy, Drama, Romance",Roger Michell,Richard Curtis,"Hugh Grant, Julia Roberts, Richard McCabe","A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.","English, Spanish, French","United Kingdom, United States",Won 1 BAFTA Award11 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BZjY3YWI5OTMtYTdlNy00ZTZiLWEwYjItN2M1MGVkMDM4ZDExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.2,"363,533",tt0125439,movie,N/A,"$116,089,678",N/A,N/A,True,False,/egyi9TQjLhNEQuEsK1dXovdHOHL.jpg,,42000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",http://www.notting-hill.com/,509,tt0125439,['GB'],en,Notting Hill,London bookstore owner William Thacker's quiet life turns upside down when a chance encounter with famous actress Anna Scott sparks an unlikely romance challenged by their vastly different worlds.,17.7792,/hHRIf2XHeQMbyRb3HUx19SF5Ujw.jpg,"[{'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 283, 'logo_path': None, 'name': 'Notting Hill Pictures', 'origin_country': 'GB'}, {'id': 232374, 'logo_path': None, 'name': 'Duncan Kenworthy Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1999-05-21,363889678,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Can the most famous film star in the world fall for the man on the street?,Notting Hill,False,7.265,6268,,,,
Mrs. Doubtfire,1993,PG-13,24 Nov 1993,125 min,"Comedy, Drama",Chris Columbus,"Anne Fine, Randi Mayem Singer, Leslie Dixon","Robin Williams, Sally Field, Pierce Brosnan","After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",English,United States,Won 1 Oscar. 11 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BY2E2MDc5ZGEtOTNlZS00Mjg4LThlNzUtMDY2Zjc4ZTViNWY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.1,"299,502",tt0107614,movie,N/A,"$219,195,243",N/A,N/A,True,False,/sTgavNm82pTaZR9U2NQZ1J2FrJz.jpg,,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,788,tt0107614,['US'],en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",17.462,/shHrSmXS5140o6sQzgzXxn3KqSm.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 492, 'logo_path': None, 'name': 'Blue Wolf Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-11-24,441286195,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,False,7.19,6244,,,,
"The Tunnel to Summer, the Exit of Goodbyes",2022,TV-14,09 Sep 2022,85 min,"Animation, Drama, Fantasy",Tomohisa Taguchi,"Mei Hachimoku, Tomohisa Taguchi","Oji Suzuka, Marie Iitoyo, Tasuku Hatanaka","In a sleepy country town, a traumatized boy and a transfer student from Tokyo stumble upon a time-bending tunnel that may grant them their every wish.","Japanese, English",Japan,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDc2MzgxZGItYzBmNi00YjM2LWI2NTQtODg4OWFjNDZkM2E3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.0,"4,196",tt17382524,movie,N/A,"$125,067",N/A,N/A,True,False,/8I9nnpZNjjP9J2ZPpg3DP94mX2U.jpg,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",https://tunneltosummerfilm.co.uk,916192,tt17382524,['JP'],ja,夏へのトンネル、さよならの出口,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",16.0815,/5AGA6pbBKXZTI8k1c6odx30JuQR.jpg,"[{'id': 129814, 'logo_path': '/3XwDAcqR8U7f2IxY6a9Fl3Zz3Sp.png', 'name': 'CLAP', 'origin_country': 'JP'}, {'id': 9148, 'logo_path': '/rtW3NadfF4kR5mTW00ahiFxw6k7.png', 'name': 'Pony Canyon', 'origin_country': 'JP'}, {'id': 9149, 'logo_path': '/isLUpud9N56ifftJZ4XvzwBBpoG.png', 'name': 'Shogakukan', 'origin_country': 'JP'}, {'id': 4719, 'logo_path': '/b3smsDQQ2UEwqToJbVTlT4kgXBk.png', 'name': 'Sotsu', 'origin_country': 'JP'}, {'id': 91520, 'logo_path': '/wdcFLdFVOPEm3uEp6Hb9OXgi5Zd.png', 'name': 'STUDIO MAUSU', 'origin_country': 'JP'}, {'id': 7549, 'logo_path': '/bXc1vp0lER6PDHtsVe12pSPwNkv.png', 'name': 'Kansai Television', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2022-09-09,872000,83,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,A mysterious tunnel can grant your fondest wish... but at a price.,"The Tunnel to Summer, the Exit of Goodbyes",False,7.726,208,,,,
Cleaner,2025,R,21 Feb 2025,N/A,"Action, Drama, Thriller",Martin Campbell,"Matthew Orton, Simon Uttley, Paul Andrew Williams","Daisy Ridley, Clive Owen, Taz Skylar","Criminal activists hijack a gala, taking 300 hostages. One extremist plans mass murder as a message to the world. An Ex-soldier turned window cleaner now works to rescue the hostages.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMzNjZDZmMmMtYTM3NC00NTUzLWI2ZTItODlkMDAwOWNiNzAzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,N/A,N/A,tt27812086,movie,N/A,N/A,N/A,N/A,True,False,/2TtpJq1PbeQ36E5FnHVX4O6hVvu.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,1125899,tt27812086,['GB'],en,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",85.1847,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,"[{'id': 138743, 'logo_path': '/abFJGmtPFs6Bq5cBavmrnXDcpf8.png', 'name': 'Anton', 'origin_country': 'GB'}, {'id': 892, 'logo_path': '/s7eFTMS1udDI1EG0Zxlx4ylx1Nl.png', 'name': 'Qwerty Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2025-02-19,1314073,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The stakes are a thousand feet high.,Cleaner,False,6.6,233,,,,
Eternals,2021,PG-13,05 Nov 2021,156 min,"Action, Adventure, Fantasy",Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","English, American Sign , Marathi, Assyrian Neo-Aramaic, Spanish, Sumerian, Latin, Sanskrit, Greek, Ancient (to 1453), Arabic",United States,7 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BZTBiZjI2M2UtZTNiNy00NmU4LWJiMjYtZjk4MDIzMzhlMjFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.3,"404,566",tt9032400,movie,N/A,"$164,870,234",N/A,N/A,True,False,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,,200000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",https://www.marvel.com/movies/eternals,524434,tt9032400,['US'],en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",19.9422,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-11-03,402064899,156,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,In the beginning...,Eternals,False,6.822,8519,,,,
Alien: Romulus,2024,R,16 Aug 2024,119 min,"Horror, Sci-Fi, Thriller",Fede Alvarez,"Dan O'Bannon, Ronald Shusett, Fede Alvarez","Cailee Spaeny, David Jonsson, Archie Renaux","While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",English,"United Kingdom, United States, Hungary, Australia, New Zealand, Canada",Nominated for 1 Oscar. 13 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMDU0NjcwOGQtNjNjOS00NzQ3LWIwM2YtYWVmODZjMzQzN2ExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.1,"236,207",tt18412256,movie,N/A,"$105,313,091",N/A,N/A,True,False,/iJaSpQNZ8GsqVDWfbCXmyZQXZ5l.jpg,"{'id': 1434946, 'name': 'Alien Romulus - Saga', 'poster_path': '/22eqcmwuW5b6OQrjHGzgeJ6CkEh.jpg', 'backdrop_path': '/nklXuO1cBEViut27TpChoKIzyI5.jpg'}",80000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.20thcenturystudios.com/movies/alien-romulus,945961,tt18412256,['US'],en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",38.8395,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}, {'id': 401, 'logo_path': '/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png', 'name': 'Brandywine Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-08-13,350865342,119,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In space, no one can hear you.",Alien: Romulus,False,7.209,3568,,,,
The Expendables,2010,R,13 Aug 2010,103 min,"Action, Adventure, Thriller",Sylvester Stallone,"Dave Callaham, Sylvester Stallone","Sylvester Stallone, Jason Statham, Jet Li",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"English, Spanish","United States, Bulgaria, Spain, Germany",3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.4,"370,807",tt1320253,movie,N/A,"$103,068,524",N/A,N/A,True,False,/sJpbDELfC8VjlRBOOkMJxxWpUg7.jpg,"{'id': 126125, 'name': 'The Expendables Collection', 'poster_path': '/zwnCtNpHa6TFI1z20LPFgdY2Qks.jpg', 'backdrop_path': '/bNMIrbzIIkGfkdNbMrCUuVYZGNp.jpg'}",80000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://expendablesthemovie.com/,27578,tt1320253,['US'],en,The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",16.5363,/j09ZkH6R4JWVylBcDai1laCmGw7.jpg,"[{'id': 7636, 'logo_path': '/e6uCvCNTf0nnery1iaQh6QSgpbn.png', 'name': 'Nimar Studios', 'origin_country': 'BG'}, {'id': 696, 'logo_path': None, 'name': 'Rogue Marble', 'origin_country': ''}, {'id': 1020, 'logo_path': '/kuUIHNwMec4dwOLghDhhZJzHZTd.png', 'name': 'Millennium Media', 'origin_country': 'US'}, {'id': 925, 'logo_path': '/dIb9hjXNOkgxu4kBWdIdK8nM4w.png', 'name': 'Nu Image', 'origin_country': 'US'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'BG', 'name': 'Bulgaria'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-07,274470394,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Choose your weapon.,The Expendables,False,6.246,7885,,,,
Indiana Jones and the Last Crusade,1989,PG-13,24 May 1989,127 min,"Action, Adventure",Steven Spielberg,"Jeffrey Boam, George Lucas, Menno Meyjes","Harrison Ford, Sean Connery, Alison Doody","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","English, German, Greek, Latin, Italian",United States,Won 1 Oscar. 9 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,8.2,"834,122",tt0097576,movie,N/A,"$197,171,806",N/A,N/A,True,False,/2Y7nbXrDtHwAfcTX7KBN0z40OAy.jpg,"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/yJgGZ8YtSIUuTIwYBCs1TjcVrg4.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",48000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.indianajones.com/crusade,89,tt0097576,['US'],en,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",18.8171,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1989-05-24,474171806,127,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,Have the adventure of your life keeping up with the Joneses.,Indiana Jones and the Last Crusade,False,7.847,10394,,,,
