Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Last Breath,2024,"Horror, Thriller","$3,214",0.03,4.5953,"Anamorphic Films,Filmgate Films,Picaro Films,Freebie Films",0.27365,96,47.0,30.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Ezra,2023,"Comedy, Drama","$2,631,460",5.0,6.5663,"Closer Media,Wayfarer Studios",3.046741,100,65.0,70.0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kill Room,2023,"Comedy, Thriller","$139,358",50.0,6.5394,"Yale Productions,Idiot Savant Pictures,Untitled Entertainment,Such Content,BK Studios,BondIt Media Capital,Head Gear Films,Metrol Technology,Slated,SuperNova Capital,Complex Corp,Great Escape",0.476375,98,55.0,59.0,58.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alice, Darling",2022,"Drama, Mystery, Romance","$101,000",4.0,4.2332,"Babe Nation Films,Elevation Pictures,Lionsgate",0.121067,90,56.0,84.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Firestarter,2022,"Drama, Horror, Sci-Fi","$9,739,250",12.0,6.9572,"Blumhouse Productions,Weed Road Pictures,BoulderLight Pictures,Universal Pictures,dentsu,The De Laurentiis Company,Night Platform",15.0,94,46.0,10.0,32.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Piece by Piece,2024,"Animation, Biography, Comedy","$9,756,635",16.0,2.651,"Focus Features,i am OTHER,LEGO,Tremolo Productions,Pure Imagination Studios",10.591426,93,69.0,83.0,63.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsung Hero,2024,"Drama, Family","$20,335,239",6.0,2.3948,"for KING & COUNTRY,WTA Media,Curb Records,Radiate Films,Kingdom Story Company,Candy Rock Entertainment,A Walsh Works Production",21.220422,113,70.0,,46.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Voyagers,2021,"Adventure, Mystery, Sci-Fi","$3,149,935",20.0,4.8626,"Nota Bene,Thunder Road",4.298184,108,55.0,24.0,44.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Spiral,2021,"Horror, Mystery, Thriller","$23,216,862",20.0,9.7193,"Twisted Pictures,Lionsgate,Serendipity Productions,Dahlstar",40.61892,93,52.0,38.0,40.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Marry Me,2022,"Comedy, Music, Romance","$22,438,180",23.0,7.9479,"Nuyorican Productions,Perfect World Pictures,Kung Fu Monkey Productions",44.0,112,61.0,61.0,51.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
PAW Patrol: The Movie,2021,"Animation, Action, Adventure","$40,127,371",26.0,13.6185,"Spin Master,Nickelodeon Movies,Paramount Pictures,Mikros Image,Mikros Animation",144.327371,86,61.0,82.0,50.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Breathe 2,2021,"Action, Crime, Horror","$32,712,950",15.0,4.206,"Ghost House Pictures,Stage 6 Films,Good Universe,Bad Hombre,Screen Gems",53.785551,98,60.0,,46.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Wandering Earth II,2023,"Action, Adventure, Drama","$5,023,132",73.8,12.849,"China Film Group Corporation,Guo Fan Culture and Media",615.023132,173,67.0,83.0,56.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Innocents,2021,"Drama, Fantasy, Horror","$30,053",3.4,2.733,"Mer Film,Zentropa International Sweden,Bufo,Snow Globe Productions,Don't Look Now,Film i Väst,Logical Pictures,Zefyr Media Fund,DR,Norsk Filminstitutt,Det Danske Filminstitut,Finnish Film Foundation,Svenska Filminstitutet,Nordisk Film & TV Fond,Eurimages,Protagonist Pictures,YLE",0.322,117,70.0,95.0,79.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Marlowe,2022,"Crime, Mystery, Thriller","$4,350,243",20.0,4.893,"Parallel Films,H2L Media Group,Nickel City Pictures,StoryBoard Media,Davis Films,Aperture Media Partners,Elipsis Capital,Jeff Rice Films,The Foley Lab,Fís Éireann/Screen Ireland,Parallel Film Productions",6.262663,109,54.0,26.0,41.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Chip 'n Dale: Rescue Rangers,2022,"Animation, Action, Adventure",,70.0,9.3575,"Walt Disney Pictures,Mandeville Films",0.62319,99,69.0,,66.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Till,2022,"Biography, Crime, Drama","$9,000,202",33.0,5.7163,"Frederick Zollo Productions,Whoop/One Ho Productions/Lil' Whoop Productions,EON Productions,Orion Pictures",11.498884,131,72.0,96.0,77.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Box,2021,"Drama, Mystery, Thriller",,10.72224,3.6912,"24 25 Films,WY Productions",9.738741,130,72.0,72.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Fallen Leaves,2023,"Comedy, Drama, Romance","$954,307",1.48,4.0344,"Sputnik,Bufo,Pandora Film",12.4,81,73.0,97.0,86.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Robot Dreams,2023,"Animation, Comedy, Drama","$875,215",5.3,7.1353,"Arcadia Motion Pictures,LokizFilms,Noodles Production,Les films du Worso",4.656348,102,76.0,98.0,87.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Werewolves Within,2021,"Comedy, Horror, Mystery","$575,783",6.5,4.5135,"Vanishing Angle,Ubisoft Film & Television",0.93749,97,60.0,86.0,66.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
