,id,Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic
0,tt20114686,Femme,2023,"Drama, Thriller","$187,053",0,2.8926,Agile Films,0,99,7.3/10,93%,69/100
1,tt30467885,Goebbels and the Führer,2024,"Biography, Drama, History",,0,2.1574,"Zeitsprung Pictures,SWR,act headquarter media",547033,123,6.7/10,,
2,tt28223926,Skincare,2024,"Comedy, Horror, Mystery","$456,590",0,5.415,"Jalapeno Goat,Iervolino & Lady Bacardi Entertainment,WWPS.TV,Evolution & Development Technology",451381,96,5.7/10,69%,
3,tt6318608,Nightwatch: Demons Are Forever,2023,"Horror, Mystery, Thriller",,4300000,33.0393,Nordisk Film Denmark,0,117,5.8/10,69%,50/100
4,tt6432466,Moxie,2021,"Comedy, Drama",,0,3.1624,Paper Kite Productions,0,111,6.7/10,70%,54/100
5,tt10993078,Boneyard,2024,"Action, Crime, Drama",,0,4.7673,"Avail Entertainment,One Dollar Studios,The Film Post",0,96,4.1/10,44%,
6,tt14849038,Vendetta,2022,"Action, Thriller",,0,4.4879,"The Exchange,308 Enterprises,Bar None Productions",0,96,3.7/10,,
7,tt26754354,The Well,2023,Horror,,0,5.4752,Iperuranio Film,0,91,5.1/10,86%,
8,tt19864828,Memory,2023,Drama,"$381,052",0,3.9749,"Teorema,High Frequency Entertainment,MUBI,Case Study Films,Screen Capital",313000,104,6.7/10,85%,
9,tt11525644,No Sudden Move,2021,"Crime, Drama, Mystery",,0,6.1233,"Warner Bros. Pictures,HBO Max",0,115,6.4/10,92%,76/100
10,tt12856788,Dangerous,2022,"Action, Crime, Drama",,0,0.8253,,0,0,5.0/10,30%,
11,tt14827150,The Last Breath,2024,"Horror, Thriller","$3,214",30000,4.5953,"Anamorphic Films,Filmgate Films,Picaro Films,Freebie Films",273650,96,4.7/10,30%,
12,tt14833464,Players,2024,"Comedy, Romance",,0,4.5073,"Campfire Studios,I Can & I Will Productions,Marc Platt Productions",0,105,5.7/10,53%,52/100
13,tt20315818,Ezra,2023,"Comedy, Drama","$2,631,460",5000000,6.5663,"Closer Media,Wayfarer Studios",3046741,100,6.5/10,70%,
14,tt14128670,Kimi,2022,"Crime, Drama, Mystery",,3500000,6.416,"New Line Cinema,HBO Max",0,89,6.3/10,92%,79/100
15,tt29224327,Hey Joe,2024,Drama,,0,0.9815,"Vision Distribution,Palomar,RAI Cinema",0,0,,,
16,tt14030816,Baghead,2023,"Horror, Mystery",,0,5.3637,"The Picture Company,Studio Babelsberg,StudioCanal,Canal+,Tonstudio Hanse Warns",6671780,95,5.4/10,29%,
17,tt9569096,Sharp Corner,2024,Thriller,,0,1.5841,"Alcina Pictures,Shut Up & Colour Pictures,Kobalt Films,Workhorse Pictures,120dB Films,Blue Rider Pictures,Elevation Pictures,Vertical",0,110,7.4/10,94%,
18,tt11908172,The Kill Room,2023,"Comedy, Thriller","$139,358",50000000,6.5394,"Yale Productions,Idiot Savant Pictures,Untitled Entertainment,Such Content,BK Studios,BondIt Media Capital,Head Gear Films,Metrol Technology,Slated,SuperNova Capital,Complex Corp,Great Escape",476375,98,5.5/10,59%,58/100
19,tt31022050,Our Little Secret,2024,"Comedy, Romance",,0,4.5786,"Capital Arts Entertainment,Good Entertainment",0,101,,37%,41/100
20,tt11687104,"Alice, Darling",2022,"Drama, Mystery, Romance","$101,000",4000000,4.2332,"Babe Nation Films,Elevation Pictures,Lionsgate",121067,90,5.6/10,84%,65/100
21,tt30327762,Toxic,2024,Drama,,0,0.6983,Akis Bado,0,99,6.7/10,,
22,tt16496386,97 Minutes,2023,Thriller,,7000000,3.2165,"Black Hangar Studios,Black Lab,Buffalo 8 Productions,Lighthouse Pictures,Media Finance Capital,ORWO Family,Orwo Studios (US)",0,93,3.9/10,,
23,tt12404266,The Last Rifleman,2023,Drama,,0,1.9786,"WestEnd Films,Wee Buns Films,Ripple World Pictures,Ingenious Media",0,100,6.5/10,69%,
24,tt14298328,Look Both Ways,2022,"Comedy, Drama, Fantasy",,0,3.9031,"Screen Arcade,CatchLight Studios",0,110,6.3/10,62%,49/100
25,tt1798632,Firestarter,2022,"Drama, Horror, Sci-Fi","$9,739,250",12000000,6.9572,"Blumhouse Productions,Weed Road Pictures,BoulderLight Pictures,Universal Pictures,dentsu,The De Laurentiis Company,Night Platform",15000000,94,4.6/10,10%,32/100
26,tt8105234,Flamin' Hot,2023,"Biography, Drama, History",,0,4.9741,"Franklin Entertainment,Searchlight Pictures",0,99,6.7/10,,58/100
27,tt15782570,You Can Live Forever,2022,"Drama, Romance",,0,2.835,"Prospector Films,Good Deed Entertainment",15055,97,6.8/10,90%,68/100
28,tt11628854,Silent Night,2021,"Comedy, Drama, Horror",,0,4.4248,"Marv,Maven Screen Media,Endeavor Content,Cloudy",438825,92,5.8/10,66%,52/100
29,tt23472210,Bookworm,2024,"Adventure, Comedy, Drama","$9,446",0,2.324,"Firefly Films,Nowhere",0,103,6.1/10,91%,64/100
30,tt31064841,Piece by Piece,2024,"Animation, Biography, Comedy","$9,756,635",16000000,2.651,"Focus Features,i am OTHER,LEGO,Tremolo Productions,Pure Imagination Studios",10591426,93,6.9/10,83%,63/100
31,tt31592660,Sumala,2024,"Horror, Thriller",,0,9.192,"Hitmaker Studios,Legacy Pictures,Masih Belajar Pictures,Role Entertainment",0,113,6.6/10,,
32,tt14301252,Zombies 3,2022,"Drama, Family, Musical",,36000000,5.4479,"Bloor Street Productions,Resonate Entertainment,Disney Branded Television",0,88,5.4/10,75%,
