,id,Title,Year,BoxOffice,Production,budget,genres,original_language,popularity,production_companies,revenue,runtime,Metacritic,imdb,rotten
0,tt20114686,Femme,2023,"$187,053",,0,"[""Thriller"", ""Romance"", ""Drama""]",en,2.8926,"[""Agile Films""]",0,99,69.0,73.0,93.0
1,tt30467885,Goebbels and the Führer,2024,,,0,"[""History"", ""Drama"", ""Biography""]",de,2.1574,"[""Zeitsprung Pictures"", ""SWR"", ""act headquarter media""]",547033,123,,67.0,
2,tt28223926,Skincare,2024,"$456,590",,0,"[""Thriller"", ""Horror"", ""Comedy"", ""Mystery"", ""Drama""]",en,5.415,"[""Jalapeno Goat"", ""Iervolino & Lady Bacardi Entertainment"", ""WWPS.TV"", ""Evolution & Development Technology""]",451381,96,,57.0,69.0
3,tt6318608,Nightwatch: Demons Are Forever,2023,,,4300000,"[""Thriller"", ""Horror"", ""Mystery""]",da,33.0393,"[""Nordisk Film Denmark""]",0,117,50.0,58.0,69.0
4,tt6432466,Moxie,2021,,,0,"[""Comedy"", ""Drama"", ""Music""]",en,3.1624,"[""Paper Kite Productions""]",0,111,54.0,67.0,70.0
5,tt10993078,Boneyard,2024,,,0,"[""Action"", ""Thriller"", ""Drama"", ""Crime""]",en,4.7673,"[""Avail Entertainment"", ""One Dollar Studios"", ""The Film Post""]",0,96,,41.0,44.0
6,tt14849038,Vendetta,2022,,,0,"[""Action"", ""Thriller"", ""Crime""]",en,4.4879,"[""The Exchange"", ""308 Enterprises"", ""Bar None Productions""]",0,96,,37.0,
7,tt26754354,The Well,2023,,,0,"[""Horror""]",en,5.4752,"[""Iperuranio Film""]",0,91,,51.0,86.0
8,tt19864828,Memory,2023,"$381,052",,0,"[""Drama""]",en,3.9749,"[""Teorema"", ""High Frequency Entertainment"", ""MUBI"", ""Case Study Films"", ""Screen Capital""]",313000,104,,67.0,85.0
9,tt11525644,No Sudden Move,2021,,,0,"[""Thriller"", ""Mystery"", ""Drama"", ""Crime""]",en,6.1233,"[""Warner Bros. Pictures"", ""HBO Max""]",0,115,76.0,64.0,92.0
10,tt12856788,Dangerous,2022,,,0,"[""Action"", ""Thriller"", ""Drama"", ""Romance"", ""Crime""]",hi,0.8253,"[""""]",0,0,,50.0,30.0
11,tt14827150,The Last Breath,2024,"$3,214",,30000,"[""Thriller"", ""Horror""]",en,4.5953,"[""Anamorphic Films"", ""Filmgate Films"", ""Picaro Films"", ""Freebie Films""]",273650,96,,47.0,30.0
12,tt14833464,Players,2024,,,0,"[""Romance"", ""Comedy""]",en,4.5073,"[""Campfire Studios"", ""I Can & I Will Productions"", ""Marc Platt Productions""]",0,105,52.0,57.0,53.0
