
id,response
tt20215234,"{'Title': 'Conclave', 'Year': '2024', 'Rated': 'PG', 'Released': '25 Oct 2024', 'Runtime': '120 min', 'Genre': 'Drama, Thriller', 'Director': 'Edward Berger', 'Writer': 'Peter Straughan, Robert Harris', 'Actors': 'Ralph Fiennes, Stanley Tucci, John Lithgow', 'Plot': ""When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a web of conspiracies and intrigue that could shake the very foundation of..."", 'Language': 'English, Italian, Spanish, Latin', 'Country': 'United Kingdom, United States', 'Awards': 'Won 1 Oscar. 87 wins & 318 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYjgxMDI5NmMtNTU3OS00ZDQxLTgxZmEtNzY1ZTBmMDY4NDRkXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '79/100'}], 'Metascore': '79', 'imdbRating': '7.4', 'imdbVotes': '147,765', 'imdbID': 'tt20215234', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$32,580,655', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt30057084,"{'Title': 'Babygirl', 'Year': '2024', 'Rated': 'R', 'Released': '25 Dec 2024', 'Runtime': '114 min', 'Genre': 'Drama, Romance, Thriller', 'Director': 'Halina Reijn', 'Writer': 'Halina Reijn', 'Actors': 'Nicole Kidman, Harris Dickinson, Antonio Banderas', 'Plot': 'A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.', 'Language': 'English', 'Country': 'Netherlands, United States', 'Awards': '8 wins & 25 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '79/100'}], 'Metascore': '79', 'imdbRating': '6.0', 'imdbVotes': '47,464', 'imdbID': 'tt30057084', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$28,196,732', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt28607951,"{'Title': 'Anora', 'Year': '2024', 'Rated': 'R', 'Released': '08 Nov 2024', 'Runtime': '139 min', 'Genre': 'Comedy, Drama, Romance', 'Director': 'Sean Baker', 'Writer': 'Sean Baker', 'Actors': 'Mikey Madison, Paul Weissman, Yura Borisov', 'Plot': 'A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.', 'Language': 'English, Russian, Armenian', 'Country': 'United States', 'Awards': 'Won 5 Oscars. 150 wins & 272 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '7.5', 'imdbVotes': '176,420', 'imdbID': 'tt28607951', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$20,474,295', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt9218128,"{'Title': 'Gladiator II', 'Year': '2024', 'Rated': 'R', 'Released': '22 Nov 2024', 'Runtime': '148 min', 'Genre': 'Action, Adventure, Drama', 'Director': 'Ridley Scott', 'Writer': 'David Franzoni, Peter Craig, David Scarpa', 'Actors': 'Paul Mescal, Denzel Washington, Pedro Pascal', 'Plot': 'After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.', 'Language': 'English, Latin', 'Country': 'United States, United Kingdom, Morocco, Canada, Malta', 'Awards': 'Nominated for 1 Oscar. 9 wins & 105 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '64/100'}], 'Metascore': '64', 'imdbRating': '6.5', 'imdbVotes': '232,368', 'imdbID': 'tt9218128', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$172,438,016', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt26625693,"{'Title': 'The Order', 'Year': '2024', 'Rated': 'R', 'Released': '18 Apr 2025', 'Runtime': '116 min', 'Genre': 'Crime, Drama, Thriller', 'Director': 'Justin Kurzel', 'Writer': 'Zach Baylin, Kevin Flynn, Gary Gerhardt', 'Actors': 'Jude Law, Nicholas Hoult, Tye Sheridan', 'Plot': 'A series of bank robberies and car heists frightened communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals, but rather a group of dangerous domestic te...', 'Language': 'English', 'Country': 'United States, United Kingdom, Canada', 'Awards': '2 wins & 6 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZWIxOGQyYjYtOGEwOC00YWNjLWJmNTktZjJlM2RmNTdjMmVlXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}], 'Metascore': '75', 'imdbRating': '6.8', 'imdbVotes': '44,107', 'imdbID': 'tt26625693', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$2,010,901', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt21942598,"{'Title': 'Freaky Tales', 'Year': '2024', 'Rated': 'R', 'Released': '04 Apr 2025', 'Runtime': '107 min', 'Genre': 'Action, Adventure, Comedy', 'Director': 'Anna Boden, Ryan Fleck', 'Writer': 'Anna Boden, Ryan Fleck', 'Actors': 'Pedro Pascal, Ben Mendelsohn, Jay Ellis', 'Plot': 'Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.', 'Language': 'English', 'Country': 'United States, Canada', 'Awards': '1 nomination total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BOTYyNmYyN2EtYTFjNS00ZWY5LWJiZmMtNTk5N2MyYzkzMDhmXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '58/100'}], 'Metascore': '58', 'imdbRating': '7.2', 'imdbVotes': '1,034', 'imdbID': 'tt21942598', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt11563598,"{'Title': 'A Complete Unknown', 'Year': '2024', 'Rated': 'R', 'Released': '25 Dec 2024', 'Runtime': '141 min', 'Genre': 'Biography, Drama, Music', 'Director': 'James Mangold', 'Writer': 'James Mangold, Jay Cocks, Elijah Wald', 'Actors': 'Timothée Chalamet, Edward Norton, Elle Fanning', 'Plot': 'In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 8 Oscars. 24 wins & 127 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYTA2NTA5NDYtMzlkOC00MTQxLWI0NDQtMzk2M2YzMGE4MTkxXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '70/100'}], 'Metascore': '70', 'imdbRating': '7.7', 'imdbVotes': '74,164', 'imdbID': 'tt11563598', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$74,998,243', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt5040012,"{'Title': 'Nosferatu', 'Year': '2024', 'Rated': 'R', 'Released': '25 Dec 2024', 'Runtime': '132 min', 'Genre': 'Fantasy, Horror, Mystery', 'Director': 'Robert Eggers', 'Writer': 'Robert Eggers, Henrik Galeen, Bram Stoker', 'Actors': 'Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård', 'Plot': 'A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.', 'Language': 'English, Romanian, Romany, Russian, Latin, German', 'Country': 'United States', 'Awards': 'Nominated for 4 Oscars. 59 wins & 184 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '78/100'}], 'Metascore': '78', 'imdbRating': '7.3', 'imdbVotes': '189,743', 'imdbID': 'tt5040012', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$95,608,235', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt17526714,"{'Title': 'The Substance', 'Year': '2024', 'Rated': 'R', 'Released': '20 Sep 2024', 'Runtime': '141 min', 'Genre': 'Drama, Horror, Sci-Fi', 'Director': 'Coralie Fargeat', 'Writer': 'Coralie Fargeat', 'Actors': 'Demi Moore, Margaret Qualley, Dennis Quaid', 'Plot': 'A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself.', 'Language': 'English', 'Country': 'United Kingdom, France', 'Awards': 'Won 1 Oscar. 143 wins & 280 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}], 'Metascore': '78', 'imdbRating': '7.3', 'imdbVotes': '296,980', 'imdbID': 'tt17526714', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$17,584,795', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
tt13186482,"{'Title': 'Mufasa: The Lion King', 'Year': '2024', 'Rated': 'PG', 'Released': '20 Dec 2024', 'Runtime': '118 min', 'Genre': 'Animation, Adventure, Drama', 'Director': 'Barry Jenkins', 'Writer': 'Jeff Nathanson', 'Actors': 'Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone', 'Plot': 'Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.', 'Language': 'English, Swahili', 'Country': 'United States, Canada', 'Awards': '15 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}], 'Metascore': '56', 'imdbRating': '6.6', 'imdbVotes': '60,431', 'imdbID': 'tt13186482', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$254,564,553', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
