imdb_id,tmdb_id
tt20215234,974576
tt30057084,1097549
tt28607951,1064213
tt9218128,558449
tt26625693,1082195
tt21942598,979660
tt11563598,661539
tt5040012,426063
tt17526714,933260
tt13186482,762509
tt12584954,718821
tt1262426,402431
tt28015403,1138194
tt21823606,1013850
tt8999762,549509
tt15398776,872585
tt8790086,539972
tt21267296,999243
tt15745084,982543
tt29623480,1184918
tt27534307,1114513
tt26753003,1032823
tt13622970,1241982
tt6263850,533535
tt18259086,939243
tt24515124,1059073
tt18412256,945961
tt4772188,823219
tt1745960,361743
tt29268110,1100782
tt15042300,1092506
tt11552344,974961
tt10545296,695721
tt11866324,766507
tt14961016,1000837
tt19861162,975511
tt17279496,929590
tt15239678,693134
tt26047818,1072790
tt11083552,637649
tt9603212,575264
tt12908150,842924
tt15671028,884605
tt20212786,970947
tt14230458,792307
tt13560574,760104
tt27813235,1128655
tt29439114,1088514
tt5177120,799583
tt1877830,414906
tt23853982,1109255
tt16366836,912649
tt5822536,516729
tt27196021,1102493
tt32768323,1317088
tt26677014,1086497
tt27403986,1106739
tt12593682,718930
tt23468450,1226578
tt17492148,681434
tt10655524,1079091
tt12037194,786892
tt27218960,1094274
tt14858658,840705
tt15314262,866398
tt22375054,1029281
tt24176060,1059128
tt8368368,1182047
tt21382296,1005331
tt23149780,1042834
tt26446278,1084736
tt27131358,1100099
tt1160419,438631
tt13652142,784524
tt13652286,1212855
tt1517268,346698
tt2906216,493529
tt28249919,1140535
tt22042346,1023915
tt20215968,974635
tt6718170,502356
tt9764362,593643
tt8041270,507086
tt1684562,746036
tt9362722,569094
tt15325794,985939
tt21064584,850165
tt10872600,634649
tt14257582,877817
tt26474783,1229915
tt14260836,799766
tt12747748,726209
tt10366206,603692
tt10638522,1008042
tt15791034,913290
tt28007064,1226572
tt1630029,76600
tt9032400,524434
tt7888964,615457
tt22041854,1020006
tt5537002,466420
tt10731256,619730
tt4978420,365177
tt10128846,592831
tt10640346,615777
tt11301886,646097
tt6710474,545611
tt21454134,1008409
tt9114286,505642
tt27911000,1034541
