Title,Year,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Genre
The Last Breath,2024,"$3,214",0.03,4.5953,"Anamorphic Films,Filmgate Films,Picaro Films,Freebie Films",0.27365,96,47.0,30.0,,Horror
The Last Breath,2024,"$3,214",0.03,4.5953,"Anamorphic Films,Filmgate Films,Picaro Films,Freebie Films",0.27365,96,47.0,30.0,, Thriller
Ezra,2023,"$2,631,460",5.0,6.5663,"Closer Media,Wayfarer Studios",3.046741,100,65.0,70.0,,Comedy
Ezra,2023,"$2,631,460",5.0,6.5663,"Closer Media,Wayfarer Studios",3.046741,100,65.0,70.0,, Drama
The Kill Room,2023,"$139,358",50.0,6.5394,"Yale Productions,Idiot Savant Pictures,Untitled Entertainment,Such Content,BK Studios,BondIt Media Capital,Head Gear Films,Metrol Technology,Slated,SuperNova Capital,Complex Corp,Great Escape",0.476375,98,55.0,59.0,58.0,Comedy
The Kill Room,2023,"$139,358",50.0,6.5394,"Yale Productions,Idiot Savant Pictures,Untitled Entertainment,Such Content,BK Studios,BondIt Media Capital,Head Gear Films,Metrol Technology,Slated,SuperNova Capital,Complex Corp,Great Escape",0.476375,98,55.0,59.0,58.0, Thriller
"Alice, Darling",2022,"$101,000",4.0,4.2332,"Babe Nation Films,Elevation Pictures,Lionsgate",0.121067,90,56.0,84.0,65.0,Drama
"Alice, Darling",2022,"$101,000",4.0,4.2332,"Babe Nation Films,Elevation Pictures,Lionsgate",0.121067,90,56.0,84.0,65.0, Mystery
"Alice, Darling",2022,"$101,000",4.0,4.2332,"Babe Nation Films,Elevation Pictures,Lionsgate",0.121067,90,56.0,84.0,65.0, Romance
Firestarter,2022,"$9,739,250",12.0,6.9572,"Blumhouse Productions,Weed Road Pictures,BoulderLight Pictures,Universal Pictures,dentsu,The De Laurentiis Company,Night Platform",15.0,94,46.0,10.0,32.0,Drama
Firestarter,2022,"$9,739,250",12.0,6.9572,"Blumhouse Productions,Weed Road Pictures,BoulderLight Pictures,Universal Pictures,dentsu,The De Laurentiis Company,Night Platform",15.0,94,46.0,10.0,32.0, Horror
Firestarter,2022,"$9,739,250",12.0,6.9572,"Blumhouse Productions,Weed Road Pictures,BoulderLight Pictures,Universal Pictures,dentsu,The De Laurentiis Company,Night Platform",15.0,94,46.0,10.0,32.0, Sci-Fi
Piece by Piece,2024,"$9,756,635",16.0,2.651,"Focus Features,i am OTHER,LEGO,Tremolo Productions,Pure Imagination Studios",10.591426,93,69.0,83.0,63.0,Animation
Piece by Piece,2024,"$9,756,635",16.0,2.651,"Focus Features,i am OTHER,LEGO,Tremolo Productions,Pure Imagination Studios",10.591426,93,69.0,83.0,63.0, Biography
Piece by Piece,2024,"$9,756,635",16.0,2.651,"Focus Features,i am OTHER,LEGO,Tremolo Productions,Pure Imagination Studios",10.591426,93,69.0,83.0,63.0, Comedy
Unsung Hero,2024,"$20,335,239",6.0,2.3948,"for KING & COUNTRY,WTA Media,Curb Records,Radiate Films,Kingdom Story Company,Candy Rock Entertainment,A Walsh Works Production",21.220422,113,70.0,,46.0,Drama
Unsung Hero,2024,"$20,335,239",6.0,2.3948,"for KING & COUNTRY,WTA Media,Curb Records,Radiate Films,Kingdom Story Company,Candy Rock Entertainment,A Walsh Works Production",21.220422,113,70.0,,46.0, Family
Voyagers,2021,"$3,149,935",20.0,4.8626,"Nota Bene,Thunder Road",4.298184,108,55.0,24.0,44.0,Adventure
Voyagers,2021,"$3,149,935",20.0,4.8626,"Nota Bene,Thunder Road",4.298184,108,55.0,24.0,44.0, Mystery
Voyagers,2021,"$3,149,935",20.0,4.8626,"Nota Bene,Thunder Road",4.298184,108,55.0,24.0,44.0, Sci-Fi
Spiral,2021,"$23,216,862",20.0,9.7193,"Twisted Pictures,Lionsgate,Serendipity Productions,Dahlstar",40.61892,93,52.0,38.0,40.0,Horror
Spiral,2021,"$23,216,862",20.0,9.7193,"Twisted Pictures,Lionsgate,Serendipity Productions,Dahlstar",40.61892,93,52.0,38.0,40.0, Mystery
Spiral,2021,"$23,216,862",20.0,9.7193,"Twisted Pictures,Lionsgate,Serendipity Productions,Dahlstar",40.61892,93,52.0,38.0,40.0, Thriller
Marry Me,2022,"$22,438,180",23.0,7.9479,"Nuyorican Productions,Perfect World Pictures,Kung Fu Monkey Productions",44.0,112,61.0,61.0,51.0,Comedy
Marry Me,2022,"$22,438,180",23.0,7.9479,"Nuyorican Productions,Perfect World Pictures,Kung Fu Monkey Productions",44.0,112,61.0,61.0,51.0, Music
Marry Me,2022,"$22,438,180",23.0,7.9479,"Nuyorican Productions,Perfect World Pictures,Kung Fu Monkey Productions",44.0,112,61.0,61.0,51.0, Romance
PAW Patrol: The Movie,2021,"$40,127,371",26.0,13.6185,"Spin Master,Nickelodeon Movies,Paramount Pictures,Mikros Image,Mikros Animation",144.327371,86,61.0,82.0,50.0,Animation
