,Unnamed: 0,id,Title,Year,BoxOffice,Production,budget,genres,original_language,popularity,production_companies,revenue,runtime,Metacritic,imdb,rotten,cluster
11,11,tt14827150,The Last Breath,2024,"$3,214",,30000,"['Thriller', 'Horror']",en,4.5953,"['Anamorphic Films', 'Filmgate Films', 'Picaro Films', 'Freebie Films']",273650,96,,47.0,30.0,THRILLER
13,13,tt20315818,Ezra,2023,"$2,631,460",,5000000,"['Comedy', 'Drama']",en,6.5663,"['Closer Media', 'Wayfarer Studios']",3046741,100,,65.0,70.0,DRAMAS
18,18,tt11908172,The Kill Room,2023,"$139,358",,50000000,"['Thriller', 'Comedy', 'Crime']",en,6.5394,"['Yale Productions', 'Idiot Savant Pictures', 'Untitled Entertainment', 'Such Content', 'BK Studios', 'BondIt Media Capital', 'Head Gear Films', 'Metrol Technology', 'Slated', 'SuperNova Capital', 'Complex Corp', 'Great Escape']",476375,98,58.0,55.0,59.0,ACAO_DE_PAI
20,20,tt11687104,"Alice, Darling",2022,"$101,000",,4000000,"['Thriller', 'Romance', 'Mystery', 'Drama']",en,4.2332,"['Babe Nation Films', 'Elevation Pictures', 'Lionsgate']",121067,90,65.0,56.0,84.0,ROMANCES
25,25,tt1798632,Firestarter,2022,"$9,739,250",,12000000,"['Horror', 'Science Fiction', 'Sci-Fi', 'Drama']",en,6.9572,"['Blumhouse Productions', 'Weed Road Pictures', 'BoulderLight Pictures', 'Universal Pictures', 'dentsu', 'The De Laurentiis Company', 'Night Platform']",15000000,94,32.0,46.0,10.0,THRILLER
30,30,tt31064841,Piece by Piece,2024,"$9,756,635",,16000000,"['Biography', 'Comedy', 'Family', 'Animation', 'Music']",en,2.651,"['Focus Features', 'i am OTHER', 'LEGO', 'Tremolo Productions', 'Pure Imagination Studios']",10591426,93,63.0,69.0,83.0,FAMILIA
35,35,tt9664108,Voyagers,2021,"$3,149,935",,20000000,"['Adventure', 'Thriller', 'Sci-Fi', 'Science Fiction', 'Mystery']",en,4.8626,"['Nota Bene', 'Thunder Road']",4298184,108,44.0,55.0,24.0,ACAO_FANTASIA
38,38,tt10342730,Spiral,2021,"$23,216,862",,20000000,"['Thriller', 'Horror', 'Mystery']",en,9.7193,"['Twisted Pictures', 'Lionsgate', 'Serendipity Productions', 'Dahlstar']",40618920,93,40.0,52.0,38.0,THRILLER
54,54,tt10223460,Marry Me,2022,"$22,438,180",,23000000,"['Comedy', 'Romance', 'Music']",en,7.9479,"['Nuyorican Productions', 'Perfect World Pictures', 'Kung Fu Monkey Productions']",44000000,112,51.0,61.0,61.0,ROMANCES
60,60,tt11832046,PAW Patrol: The Movie,2021,"$40,127,371",,26000000,"['Adventure', 'Action', 'Comedy', 'Family', 'Animation']",en,13.6185,"['Spin Master', 'Nickelodeon Movies', 'Paramount Pictures', 'Mikros Image', 'Mikros Animation']",144327371,86,50.0,61.0,82.0,FAMILIA
